[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b'accept', b'*/*') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 19 with 6 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 3 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b'accept-encoding', b'gzip, deflate') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 16 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b'user-agent', b'python-httpx/0.28.1') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 58 with 6 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 14 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b'x-client-info', b'supabase-py/2.24.0') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 10 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 13 with 7 bits
